Commit SHA,Java File,Old function signature,New function signature
dfed9240ab1a46ed8c5dfea8d8dd4e38d86646f2,DeserializationConfig.java,"Feature(boolean defaultState, boolean canUseForInstance)",Feature(boolean defaultState)
07d946c11d447ba88b62d28750a33651c897da29,AnnotatedWithParams.java,"resolveParameterType(int index, TypeBindings bindings)",resolveParameterType(int index)
c1478accdc574ed32b884354f3b9a40e939ca72e,DeserializationContext.java,"mappingException(Class<?> targetClass, JsonToken token)",mappingException(Class<?> targetClass)
3419c387fc37ac35cedaf225f43f6bb673e83fdb,DeserializationConfig.java,"isEnabled(JsonParser.Feature f, TokenStreamFactory factory)",isEnabled(JsonParser.Feature f)
aa07f10b6a7679b7c2013925f20df68f0359d0e3,SerializationConfig.java,getGeneratorFeatures(int defaults),getGeneratorFeatures()
489659c53cb126597cdecbd52737902ec7006bc0,ClassUtil.java,"classNameOf(Object inst, String defName)",classNameOf(Object inst)
2dfc03f18e248fdc7a1ba98f337b0d6ee30ccf5a,IndexedStringListSerializer.java,IndexedStringListSerializer(BeanProperty property),IndexedStringListSerializer()
dfed9240ab1a46ed8c5dfea8d8dd4e38d86646f2,SerializationConfig.java,"Feature(boolean defaultState, boolean canUseForInstance)",Feature(boolean defaultState)
851092c056e1fa4b9cb123209078d7e71be76030,DeserializationContext.java,"mappingException(Class<?> targetClass, JsonToken token)",mappingException(Class<?> targetClass)
aa07f10b6a7679b7c2013925f20df68f0359d0e3,SerializationConfig.java,getFormatWriteFeatures(int defaults),getFormatWriteFeatures()
3bbe215e5e73a4c9c4b2b08b187a93ce48763f9d,SchemaFactory.java,SchemaFactory(SerializerProvider mapper),SchemaFactory()
7fd884e4f7b0f02942fd425080e50f24fd6dfdfa,ObjectSchemaFactory.java,"getSer(BeanPropertyWriter writer, Class<?> serType)",getSer(BeanPropertyWriter writer)
aa07f10b6a7679b7c2013925f20df68f0359d0e3,DeserializationConfig.java,getParserFeatures(int defaults),getParserFeatures()
ed98c9e3c47b12f6f457f4af6fd2546e53f68284,ObjectSchemaFactory.java,"getSer(BeanPropertyWriter writer, Class<?> serType)",getSer(BeanPropertyWriter writer)
b65c2a6fc1fd05fca840d21963d88a8a1c130d0e,AnnotationIntrospectorPair.java,"findPropertiesToIgnore(Annotated ac, boolean forSerialization)",findPropertiesToIgnore(Annotated ac)
aa07f10b6a7679b7c2013925f20df68f0359d0e3,DeserializationConfig.java,getFormatReadFeatures(int defaults),getFormatReadFeatures()
f42e62927e7314a093fd2879030762a5dcc087fe,StringCollectionSerializer.java,StringCollectionSerializer(BeanProperty property),StringCollectionSerializer()
d453182b63249c2c597a54229a4242e1ce1921d0,TestObjectId.java,"Identifiable(String id, int v)",Identifiable(int v)
3419c387fc37ac35cedaf225f43f6bb673e83fdb,SerializationConfig.java,"isEnabled(JsonGenerator.Feature f, TokenStreamFactory factory)",isEnabled(JsonGenerator.Feature f)
